student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,caffeine_intake,sleep_quality,diet_score,internet_score,part_job_score,stress_proxy,focus_proxy
S1000,23.0,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6.0,Master,Average,8.0,Yes,56.2,1.4,7.7,0,0,0,2.5419379256265517,8.495716043126723
S1001,20.0,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6.0,High School,Average,8.0,No,100.0,5.0,4.7,1,0,0,3.5950784691691124,6.600215822642596
S1002,21.0,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1.0,High School,Poor,1.0,No,34.3,2.7,3.6,-1,-1,0,6.627542634351988,5.518702602221538
S1003,23.0,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4.0,Master,Good,1.0,Yes,26.8,3.1,4.0,-1,1,0,4.68376494799175,6.9375632551183735
S1004,19.0,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3.0,Master,Good,1.0,No,66.4,4.3,2.5,0,1,0,5.145977432348268,5.348282789891481
S1005,24.0,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1.0,Master,Average,4.0,No,100.0,3.6,3.2,0,0,0,4.662452424202246,6.425562154569178
S1006,21.0,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2.0,Master,Poor,4.0,No,89.8,6.4,3.5,1,-1,1,6.806545296039536,4.072071096464788
S1007,21.0,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0.0,Bachelor,Average,8.0,No,72.6,5.6,4.0,0,0,1,5.7538048861141915,4.356866359680041
S1008,23.0,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3.0,Bachelor,Good,1.0,No,78.9,3.0,3.5,1,1,0,4.002814376986887,7.057875314899046
S1009,18.0,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5.0,Bachelor,Good,10.0,Yes,100.0,4.0,6.7,1,1,0,2.0649818362755084,8.83964688577679
S1010,19.0,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1.0,,Good,3.0,No,63.3,3.6,3.9,0,1,0,4.848138204115186,6.177998248769728
S1011,23.0,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2.0,Bachelor,Average,1.0,No,74.4,2.8,3.6,0,0,0,5.623489211207081,6.131399003636031
S1012,19.0,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1.0,Bachelor,Good,9.0,No,76.9,5.0,2.5,0,1,1,4.769928714101306,5.221296776262859
S1013,19.0,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4.0,Bachelor,Good,10.0,No,75.8,2.2,5.3,0,1,0,3.4135909638656434,6.829239800039953
S1014,24.0,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6.0,Bachelor,Average,9.0,No,78.9,1.0,5.8,-1,0,0,3.262741327555117,6.918552353414893
S1015,21.0,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6.0,High School,Average,7.0,No,74.0,3.2,7.4,1,0,0,2.880003384735053,8.573140965023555
S1016,20.0,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3.0,High School,Poor,8.0,Yes,55.2,1.0,4.5,-1,-1,0,4.506993613116468,5.766737335140102
S1017,24.0,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0.0,High School,Average,1.0,Yes,70.8,3.2,2.9,-1,0,0,5.7495665576615815,5.530330237059595
S1018,24.0,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2.0,High School,Good,5.0,No,43.9,4.2,4.0,1,1,1,4.742312346995774,6.233733007605972
S1019,19.0,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1.0,High School,Average,2.0,No,45.3,1.3,4.2,0,0,0,5.2078151731514275,5.216842910218678
S1020,22.0,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3.0,Master,Good,1.0,No,58.5,4.7,3.6,1,1,0,4.34951588098951,6.339490877530367
S1021,21.0,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1.0,High School,Good,3.0,No,82.5,3.7,4.2,0,1,0,4.383134006140512,6.7847787639960035
S1022,18.0,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3.0,High School,Average,7.0,No,98.7,3.6,4.8,0,0,0,3.838757582810951,7.0238500787629485
